miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-mir-140	hg38:chr16:69933143-69933166:+	4214	825.724027	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933143-69933167:+	9	1.763530	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933144-69933163:+	3	0.587843	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933144-69933164:+	27	5.290591	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933144-69933165:+	232	45.459889	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933144-69933166:+	261	51.142376	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933145-69933165:+	9	1.763530	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933145-69933166:+	42	8.229808	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933146-69933165:+	1	0.195948	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933146-69933166:+	5	0.979739	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933146-69933167:+	1	0.195948	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933146-69933168:+	12	2.351374	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933146-69933169:+	46	9.013599	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933146-69933170:+	1	0.195948	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933147-69933166:+	2	0.391896	N	mature,MIMAT0004597
hsa-mir-140	hg38:chr16:69933147-69933169:+	1	0.195948	N	mature,MIMAT0004597
hsa-mir-141	hg38:chr12:6964113-6964134:+	1	0.195948	N	mature,MIMAT0004598
hsa-mir-141	hg38:chr12:6964113-6964135:+	2	0.391896	N	mature,MIMAT0004598
hsa-mir-141	hg38:chr12:6964155-6964177:+	2	0.391896	N	mature,MIMAT0000432
hsa-mir-141	hg38:chr12:6964155-6964178:+	10	1.959478	N	mature,MIMAT0000432
hsa-mir-142	hg38:chr17:58331243-58331265:-	1	0.195948	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331244-58331267:-	2	0.391896	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331245-58331265:-	1	0.195948	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331245-58331267:-	259	50.750480	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331245-58331268:-	76	14.892033	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331246-58331267:-	408	79.946702	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331246-58331268:-	209	40.953090	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331247-58331267:-	28	5.486538	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331247-58331268:-	11	2.155426	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331250-58331268:-	1	0.195948	N	mature,MIMAT0000434
hsa-mir-142	hg38:chr17:58331281-58331304:-	1	0.195948	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331283-58331304:-	18	3.527060	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331284-58331304:-	4	0.783791	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331284-58331306:-	10	1.959478	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331285-58331304:-	6	1.175687	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331285-58331306:-	4	0.783791	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331286-58331306:-	17	3.331113	N	mature,MIMAT0000433
hsa-mir-142	hg38:chr17:58331287-58331306:-	1	0.195948	N	mature,MIMAT0000433
hsa-mir-143	hg38:chr5:149428944-149428965:+	25	4.898695	N	mature,MIMAT0004599
hsa-mir-143	hg38:chr5:149428975-149428996:+	1	0.195948	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428976-149428996:+	4	0.783791	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428976-149428997:+	4	0.783791	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428976-149428998:+	3	0.587843	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428976-149428999:+	4	0.783791	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428977-149428996:+	38	7.446016	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428977-149428997:+	49	9.601442	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428977-149428998:+	552	108.163185	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428977-149428999:+	104	20.378571	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428977-149429000:+	27	5.290591	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149428995:+	6	1.175687	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149428996:+	1757	344.280284	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149428997:+	2084	408.355214	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149428998:+	78764	15433.632480	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149428999:+	34274	6715.914880	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149429000:+	8874	1738.840773	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428978-149429001:+	101	19.790728	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428979-149428998:+	3	0.587843	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428980-149429000:+	1	0.195948	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428981-149428998:+	8	1.567582	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428981-149428999:+	2	0.391896	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428981-149429000:+	12	2.351374	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428982-149428999:+	1	0.195948	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428982-149429000:+	3	0.587843	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428983-149429000:+	1	0.195948	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428983-149429005:+	1	0.195948	N	mature,MIMAT0000435
hsa-mir-143	hg38:chr5:149428983-149429006:+	1	0.195948	N	mature,MIMAT0000435
hsa-mir-144	hg38:chr17:28861546-28861568:-	1	0.195948	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861548-28861568:-	70	13.716346	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861548-28861569:-	15	2.939217	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861549-28861568:-	24	4.702747	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861549-28861569:-	7	1.371635	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861550-28861568:-	14	2.743269	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861550-28861569:-	7	1.371635	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861552-28861569:-	1	0.195948	N	mature,MIMAT0000436
hsa-mir-144	hg38:chr17:28861579-28861602:-	1	0.195948	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861579-28861604:-	1	0.195948	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861581-28861602:-	1	0.195948	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861581-28861604:-	13	2.547321	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861581-28861605:-	2	0.391896	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861582-28861602:-	6	1.175687	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861582-28861604:-	43	8.425755	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861582-28861605:-	140	27.432692	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861583-28861601:-	1	0.195948	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861583-28861602:-	2	0.391896	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861583-28861604:-	58	11.364972	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861583-28861605:-	4960	971.901086	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861584-28861605:-	54	10.581181	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861585-28861605:-	74	14.500137	N	mature,MIMAT0004600
hsa-mir-144	hg38:chr17:28861586-28861605:-	1	0.195948	N	mature,MIMAT0004600
hsa-mir-145	hg38:chr5:149430660-149430682:+	3	0.587843	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430661-149430680:+	65	12.736607	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430661-149430681:+	47	9.209547	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430661-149430682:+	511	100.129326	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430661-149430683:+	579	113.453776	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430661-149430684:+	1400	274.326919	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430661-149430685:+	53	10.385233	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430662-149430683:+	1	0.195948	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430662-149430684:+	5	0.979739	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430662-149430685:+	2	0.391896	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430667-149430688:+	1	0.195948	N	mature,MIMAT0000437
hsa-mir-145	hg38:chr5:149430699-149430721:+	12	2.351374	N	mature,MIMAT0004601
hsa-mir-145	hg38:chr5:149430700-149430721:+	3	0.587843	N	mature,MIMAT0004601
hsa-mir-145	hg38:chr5:149430700-149430722:+	4	0.783791	N	mature,MIMAT0004601
hsa-mir-145	hg38:chr5:149430701-149430721:+	18	3.527060	N	mature,MIMAT0004601
hsa-mir-145	hg38:chr5:149430701-149430722:+	28	5.486538	N	mature,MIMAT0004601
hsa-mir-1468	hg38:chrX:63786053-63786076:-	1	0.195948	N	mature,MIMAT0006789
hsa-mir-1468	hg38:chrX:63786054-63786075:-	3	0.587843	N	mature,MIMAT0006789
hsa-mir-1468	hg38:chrX:63786054-63786076:-	64	12.540659	N	mature,MIMAT0006789
hsa-mir-1468	hg38:chrX:63786055-63786076:-	4	0.783791	N	mature,MIMAT0006789
hsa-mir-146a	hg38:chr5:160485371-160485393:+	3	0.587843	N	mature,MIMAT0000449
hsa-mir-146a	hg38:chr5:160485372-160485393:+	12	2.351374	N	mature,MIMAT0000449
hsa-mir-146a	hg38:chr5:160485372-160485394:+	46	9.013599	N	mature,MIMAT0000449
hsa-mir-146a	hg38:chr5:160485372-160485395:+	17	3.331113	N	mature,MIMAT0000449
hsa-mir-146a	hg38:chr5:160485372-160485396:+	2	0.391896	N	mature,MIMAT0000449
hsa-mir-146a	hg38:chr5:160485374-160485394:+	1	0.195948	N	mature,MIMAT0000449
hsa-mir-146b	hg38:chr10:102436519-102436541:+	4	0.783791	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436519-102436542:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436519-102436543:+	2	0.391896	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436519-102436544:+	2	0.391896	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436539:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436540:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436541:+	17	3.331113	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436542:+	337	66.034408	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436543:+	644	126.190383	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436544:+	2403	470.862562	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436520-102436546:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436522-102436544:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436523-102436544:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436524-102436544:+	1	0.195948	N	mature,MIMAT0002809
hsa-mir-146b	hg38:chr10:102436556-102436577:+	1	0.195948	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436556-102436578:+	13	2.547321	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436556-102436579:+	92	18.027198	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436557-102436576:+	1	0.195948	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436557-102436577:+	2	0.391896	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436557-102436578:+	12	2.351374	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436557-102436579:+	200	39.189560	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436557-102436580:+	1	0.195948	N	mature,MIMAT0004766
hsa-mir-146b	hg38:chr10:102436558-102436579:+	1	0.195948	N	mature,MIMAT0004766
hsa-mir-148a	hg38:chr7:25949920-25949944:-	89	17.439354	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949921-25949943:-	2	0.391896	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949921-25949944:-	577	113.061880	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949922-25949943:-	1	0.195948	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949922-25949944:-	6092	1193.713995	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949922-25949945:-	1	0.195948	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949923-25949944:-	1206	236.313046	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949924-25949944:-	8	1.567582	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949925-25949944:-	1	0.195948	N	mature,MIMAT0000243
hsa-mir-148a	hg38:chr7:25949960-25949982:-	6	1.175687	N	mature,MIMAT0004549
hsa-mir-148a	hg38:chr7:25949962-25949982:-	3	0.587843	N	mature,MIMAT0004549
hsa-mir-148a	hg38:chr7:25949962-25949983:-	2	0.391896	N	mature,MIMAT0004549
hsa-mir-148b	hg38:chr12:54337239-54337260:+	1	0.195948	N	mature,MIMAT0004699
hsa-mir-148b	hg38:chr12:54337239-54337261:+	3	0.587843	N	mature,MIMAT0004699
hsa-mir-148b	hg38:chr12:54337239-54337262:+	1	0.195948	N	mature,MIMAT0004699
hsa-mir-148b	hg38:chr12:54337239-54337263:+	1	0.195948	N	mature,MIMAT0004699
hsa-mir-148b	hg38:chr12:54337240-54337262:+	1	0.195948	N	mature,MIMAT0004699
hsa-mir-148b	hg38:chr12:54337240-54337263:+	1	0.195948	N	mature,MIMAT0004699
hsa-mir-148b	hg38:chr12:54337278-54337298:+	4	0.783791	N	mature,MIMAT0000759
hsa-mir-148b	hg38:chr12:54337278-54337299:+	379	74.264216	N	mature,MIMAT0000759
hsa-mir-148b	hg38:chr12:54337278-54337300:+	600	117.568680	N	mature,MIMAT0000759
hsa-mir-149	hg38:chr2:240456014-240456038:+	2	0.391896	N	mature,MIMAT0000450
hsa-mir-149	hg38:chr2:240456015-240456035:+	32	6.270330	N	mature,MIMAT0000450
hsa-mir-149	hg38:chr2:240456015-240456036:+	66	12.932555	N	mature,MIMAT0000450
hsa-mir-149	hg38:chr2:240456015-240456037:+	661	129.521495	N	mature,MIMAT0000450
hsa-mir-149	hg38:chr2:240456015-240456038:+	2100	411.490379	N	mature,MIMAT0000450
hsa-mir-149	hg38:chr2:240456015-240456039:+	6	1.175687	N	mature,MIMAT0000450
hsa-mir-149	hg38:chr2:240456055-240456076:+	2	0.391896	N	mature,MIMAT0004609
hsa-mir-149	hg38:chr2:240456055-240456077:+	11	2.155426	N	mature,MIMAT0004609
hsa-mir-149	hg38:chr2:240456055-240456078:+	2	0.391896	N	mature,MIMAT0004609
hsa-mir-149	hg38:chr2:240456056-240456075:+	1	0.195948	N	mature,MIMAT0004609
hsa-mir-149	hg38:chr2:240456056-240456076:+	1	0.195948	N	mature,MIMAT0004609
hsa-mir-149	hg38:chr2:240456056-240456077:+	2	0.391896	N	mature,MIMAT0004609
hsa-mir-150	hg38:chr19:49500831-49500854:-	6	1.175687	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500832-49500854:-	375	73.480425	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500832-49500856:-	3	0.587843	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500833-49500854:-	197	38.601717	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500833-49500856:-	17	3.331113	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500834-49500854:-	102	19.986676	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500834-49500856:-	17	3.331113	N	mature,MIMAT0000451
hsa-mir-150	hg38:chr19:49500836-49500854:-	1	0.195948	N	mature,MIMAT0000451
hsa-mir-151a	hg38:chr8:140732584-140732606:-	1	0.195948	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732584-140732607:-	3	0.587843	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732584-140732608:-	3	0.587843	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732585-140732606:-	2	0.391896	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732585-140732607:-	1	0.195948	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732585-140732608:-	7	1.371635	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732586-140732607:-	10	1.959478	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732586-140732608:-	4077	798.879179	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732586-140732609:-	17	3.331113	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732586-140732610:-	27	5.290591	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732587-140732607:-	5	0.979739	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732587-140732608:-	8334	1633.028961	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732587-140732609:-	147	28.804327	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732587-140732610:-	596	116.784889	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732588-140732608:-	983	192.616687	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732588-140732609:-	61	11.952816	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732588-140732610:-	784	153.623075	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732589-140732607:-	1	0.195948	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732589-140732608:-	378	74.068268	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732589-140732609:-	55	10.777129	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732589-140732610:-	1140	223.380491	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732590-140732608:-	6	1.175687	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732590-140732609:-	1	0.195948	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732590-140732610:-	15	2.939217	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732591-140732610:-	1	0.195948	N	mature,MIMAT0000757
hsa-mir-151a	hg38:chr8:140732620-140732643:-	2	0.391896	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732620-140732644:-	2	0.391896	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732621-140732643:-	2	0.391896	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732621-140732644:-	75	14.696085	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732621-140732645:-	4	0.783791	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732622-140732643:-	3	0.587843	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732622-140732644:-	1093	214.170945	N	mature,MIMAT0004697
hsa-mir-151a	hg38:chr8:140732622-140732645:-	69	13.520398	N	mature,MIMAT0004697
hsa-mir-151b	hg38:chr14:100109435-100109456:-	50	9.797390	N	mature,MIMAT0010214
hsa-mir-151b	hg38:chr14:100109435-100109457:-	2	0.391896	N	mature,MIMAT0010214
hsa-mir-152	hg38:chr17:48037173-48037195:-	113	22.142101	N	mature,MIMAT0000438
hsa-mir-152	hg38:chr17:48037174-48037194:-	1	0.195948	N	mature,MIMAT0000438
hsa-mir-152	hg38:chr17:48037174-48037195:-	471	92.291414	N	mature,MIMAT0000438
hsa-mir-152	hg38:chr17:48037175-48037195:-	2	0.391896	N	mature,MIMAT0000438
hsa-mir-153-1	hg38:chr2:219294124-219294148:-	22	4.310852	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294125-219294148:-	17	3.331113	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294126-219294148:-	250	48.986950	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294127-219294147:-	1	0.195948	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294127-219294148:-	72	14.108242	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294128-219294148:-	17	3.331113	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294129-219294148:-	8	1.567582	N	mature,MIMAT0000439
hsa-mir-153-1	hg38:chr2:219294164-219294186:-	2	0.391896	N	unannotated
hsa-mir-153-2	hg38:chr7:157574347-157574371:-	8	1.567582	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574348-157574370:-	1	0.195948	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574348-157574371:-	18	3.527060	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574349-157574371:-	226	44.284203	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574350-157574370:-	1	0.195948	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574350-157574371:-	58	11.364972	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574351-157574371:-	30	5.878434	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574352-157574371:-	4	0.783791	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574353-157574371:-	1	0.195948	N	mature,MIMAT0000439
hsa-mir-153-2	hg38:chr7:157574385-157574410:-	2	0.391896	N	mature,MIMAT0026480
hsa-mir-153-2	hg38:chr7:157574387-157574410:-	8	1.567582	N	mature,MIMAT0026480
hsa-mir-153-2	hg38:chr7:157574388-157574410:-	1	0.195948	N	mature,MIMAT0026480
hsa-mir-153-2	hg38:chr7:157574389-157574410:-	1499	293.725751	N	mature,MIMAT0026480
hsa-mir-153-2	hg38:chr7:157574410-157574429:-	1	0.195948	N	precursor
hsa-mir-153-2	hg38:chr7:157574410-157574430:-	1	0.195948	N	precursor
hsa-mir-154	hg38:chr14:101059749-101059769:+	4	0.783791	N	precursor
hsa-mir-154	hg38:chr14:101059769-101059790:+	14	2.743269	N	mature,MIMAT0000452
hsa-mir-154	hg38:chr14:101059769-101059791:+	198	38.797664	N	mature,MIMAT0000452
hsa-mir-154	hg38:chr14:101059805-101059825:+	3	0.587843	N	mature,MIMAT0000453
hsa-mir-154	hg38:chr14:101059805-101059826:+	23	4.506799	N	mature,MIMAT0000453
hsa-mir-154	hg38:chr14:101059805-101059827:+	264	51.730219	N	mature,MIMAT0000453
hsa-mir-154	hg38:chr14:101059805-101059828:+	2	0.391896	N	mature,MIMAT0000453
hsa-mir-154	hg38:chr14:101059806-101059827:+	1	0.195948	N	mature,MIMAT0000453
hsa-mir-154	hg38:chr14:101059807-101059827:+	2	0.391896	N	mature,MIMAT0000453
hsa-mir-154	hg38:chr14:101059808-101059827:+	1	0.195948	N	mature,MIMAT0000453
hsa-mir-155	hg38:chr21:25573983-25574003:+	7	1.371635	N	mature,MIMAT0000646
hsa-mir-155	hg38:chr21:25573983-25574004:+	32	6.270330	N	mature,MIMAT0000646
hsa-mir-155	hg38:chr21:25573983-25574005:+	33	6.466277	N	mature,MIMAT0000646
hsa-mir-155	hg38:chr21:25573983-25574006:+	44	8.621703	N	mature,MIMAT0000646
hsa-mir-155	hg38:chr21:25573983-25574007:+	12	2.351374	N	mature,MIMAT0000646
hsa-mir-155	hg38:chr21:25573983-25574008:+	1	0.195948	N	mature,MIMAT0000646
hsa-mir-15a	hg38:chr13:50049165-50049188:-	1	0.195948	N	mature,MIMAT0000068
hsa-mir-15a	hg38:chr13:50049165-50049189:-	391	76.615590	N	mature,MIMAT0000068
hsa-mir-15a	hg38:chr13:50049166-50049189:-	316	61.919505	N	mature,MIMAT0000068
hsa-mir-15a	hg38:chr13:50049167-50049189:-	92	18.027198	N	mature,MIMAT0000068
hsa-mir-15a	hg38:chr13:50049168-50049189:-	169	33.115178	N	mature,MIMAT0000068
hsa-mir-15a	hg38:chr13:50049169-50049189:-	25	4.898695	N	mature,MIMAT0000068
hsa-mir-15a	hg38:chr13:50049170-50049189:-	1	0.195948	N	mature,MIMAT0000068
hsa-mir-15b	hg38:chr3:160404607-160404624:+	1	0.195948	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404607-160404625:+	13	2.547321	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404607-160404626:+	33	6.466277	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404607-160404627:+	57	11.169025	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404607-160404628:+	116	22.729945	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404607-160404629:+	269	52.709958	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404612-160404629:+	1	0.195948	N	mature,MIMAT0000417
hsa-mir-15b	hg38:chr3:160404645-160404664:+	25	4.898695	N	mature,MIMAT0004586
hsa-mir-15b	hg38:chr3:160404645-160404665:+	6	1.175687	N	mature,MIMAT0004586
hsa-mir-15b	hg38:chr3:160404645-160404666:+	15	2.939217	N	mature,MIMAT0004586
hsa-mir-15b	hg38:chr3:160404645-160404667:+	8	1.567582	N	mature,MIMAT0004586
hsa-mir-16-1	hg38:chr13:50048985-50049007:-	15	2.939217	N	mature,MIMAT0004489
hsa-mir-16-1	hg38:chr13:50049025-50049049:-	4	0.783791	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049026-50049049:-	32	6.270330	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049027-50049048:-	1	0.195948	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049027-50049049:-	1071	209.860093	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049028-50049049:-	34	6.662225	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049029-50049049:-	185	36.250343	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049030-50049049:-	6	1.175687	N	mature,MIMAT0000069
hsa-mir-16-1	hg38:chr13:50049031-50049049:-	1	0.195948	N	mature,MIMAT0000069
hsa-mir-16-2	hg38:chr3:160404754-160404773:+	7	1.371635	N	mature,MIMAT0000069
hsa-mir-16-2	hg38:chr3:160404754-160404774:+	185	36.250343	N	mature,MIMAT0000069
hsa-mir-16-2	hg38:chr3:160404754-160404775:+	35	6.858173	N	mature,MIMAT0000069
